goos: linux
goarch: amd64
pkg: github.com/onhotpath/ferry/bench
cpu: 12th Gen Intel(R) Core(TM) i5-1240P
BenchmarkLoad/env_small/warm/stdlib-6                  	 6943197	       173.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoad/env_small/warm/stdlib-6                  	 7251997	       174.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoad/env_small/warm/stdlib-6                  	 7098532	       171.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoad/env_small/warm/stdlib-6                  	 6610880	       171.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStructTagCost/pooled-6                        	13198846	        79.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkStructTagCost/pooled-6                        	15635032	        79.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkStructTagCost/pooled-6                        	15944276	        77.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkStructTagCost/pooled-6                        	15592968	        81.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkStructTagCost/pooled-6                        	14942361	        76.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkStructTagCost/pooled-6                        	15459782	        77.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkStructTagCost/pooled-6                        	14537794	        79.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkStructTagCost/pooled-6                        	16208707	        76.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkStructTagCost/pooled-6                        	15912000	        78.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkStructTagCost/pooled-6                        	15697129	        82.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkStructTagCost/per_library-6                   	 6081277	       202.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkStructTagCost/per_library-6                   	 5476861	       204.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStructTagCost/per_library-6                   	 6045309	       201.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStructTagCost/per_library-6                   	 5928819	       207.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStructTagCost/per_library-6                   	 5783515	       204.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStructTagCost/per_library-6                   	 6031054	       199.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStructTagCost/per_library-6                   	 6097159	       198.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStructTagCost/per_library-6                   	 5952414	       208.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStructTagCost/per_library-6                   	 5372560	       206.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStructTagCost/per_library-6                   	 6177589	       203.1 ns/op	       0 B/op	       0 allocs/op
